Team Name	Town or School	Team
Pierson Whalers	Sag Harbor	28
Mechanical Marauders	Bay Shore	271
Mohawks	Patchogue	329
Robotic Eagles	Hauppauge	358
Royals	Port Jefferson	496
Entropy	Miller Place	514
Red Dragons	Plainedge HS	527
The PSIcotics	Lindenhurst	533
ROBO-DAWGS	Island Trees	545
Rambots	East Meadow	569
TEAM R.I.C.E.	Southold	870
J-Birds	Hicksville	1468
Chaos 	Baldwin	1546
Vikings	Port Washington	1803
Robotic Dragons	Westbury High School	2027
Robocats	Walt Whitman HS	2161
Trial and Error	Copiague	2347
Mechanical Animals	Sayville	2487
Rebel Robotics	Great Neck	2638
CyberCats 	Wheatley	2872
Cyber Hawks	CSH	2875
T-Birds	Connetquot	3137
HURRICANES	Westhampton Beach	3171
ThunderColts	HHH	3624
Infernobotix	Center Moriches	4458
The Mechanized Mafia	Seaford	4567
Huntington Robotics	Huntington	5016
Northport Robotics	Nortport	5099
Team Supreme	Bridgehampton	5659
Kingsmen Robotics	Kings Park	5736
Iron Patriots	Ward Melville 	6423
Wild Reds	Mineola	6806
SO BOTZ	South Orange	6911
Riptide	Longbeach	8267
Afterschock	Sachem	263
Floyd Robotics	William Floyd	287
Megalodons	Brooklyn	333
POBots	Plainview	353
RoboTigers	Long Island City	1796
Zombie Apocalypse Counter Task Force	Bronx	426
Longwood Robotics	Longwood	564
Baybots	Hampton Bays	601
Edison Robotics	Jamaica	640
Mechanical Bulls	Smithtown	810
Robotechs	West Islip	871
Mechanical Mules	Malvern	884
Robotics	Oceanside	1554
Warriors	Comsewogue	1751
Robo Tigers	Queens	1796
Steel Hawks	Flushing	2601
RoboGym	Northshore	3950
E-Tech Chargers	Astoria	5298
The Sentinels	Bayshore	5599
Syosset Mustangs	Our Lady of Mercy Academy	6746
Wild Reds	Mineola	6806
Bulldog Bytes 	Irvington NYC	7759
Redhawk Robotics	Ozone Park	8739
